tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06b5	Archeologic	Ceramic	7.74e-05	0.02	c	0.98	0.93	0.38	11.09	0.74	0.82	0.88	1.11	10.0	6.0	35.83	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b5
3.57	9.634777	4.007976	8.292152	0.321999 : 0.323477 : 0.354524 : -0.016076 : 0.024629 : 0.016661	6.0	0.011085	ATRM	0.369304 : 67.7 : 63.1	0.337919 : 141.3 : -8.2	0.292776 : 227.4 : 25.5	This study	Critical F: 3.1059									hz06b5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06c1	Archeologic	Ceramic	8.25e-05	0.03	c	1.0	0.94	0.88	1.97	0.83	0.85	0.87	1.14	11.0	5.0	27.37	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06c	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c1
1.52	3.2791069999999998	2.003427	2.0958900000000003	0.333872 : 0.332592 : 0.333536 : -0.021759 : -0.000445 : 0.000923	6.0	0.010764	ATRM	0.355045 : 135.9 : -2.6	0.333497 : 117.8 : 87.3	0.311458 : 225.8 : 0.8	This study	Critical F: 3.1059									hz06c1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06c	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06c2	Archeologic	Ceramic	8.03e-05	0.02	c	1.01	0.96	1.27	5.6	0.94	0.98	0.91	2.36	14.0	6.0	42.08	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06c	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c2
2.11	15.459318	13.314888	6.4231050000000005	0.318079 : 0.347235 : 0.334686 : -0.011744 : 0.012078 : -0.016880	6.0	0.006364	ATRM	0.362830 : 118.7 : 33.6	0.329990 : 246.4 : 42.6	0.307180 : 7.1 : 29.0	This study	Critical F: 3.1059									hz06c2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06c	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06c3	Archeologic	Ceramic	8.13e-05	0.01	c	1.0	0.95	1.6	3.7	0.81	0.83	0.87	2.53	10.0	5.0	83.5	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06c	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c3
6.38	3.393013	4.169181	0.604796	0.330643 : 0.322171 : 0.347185 : -0.007286 : -0.002973 : 0.012300	6.0	0.009404000000000001	ATRM	0.354883 : 159.1 : -58.5	0.327729 : 318.0 : -29.8	0.317387 : 53.5 : -9.4	This study	Critical F: 3.1059									hz06c3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06c	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07a1	Archeologic	Ceramic	6.790000000000001e-05	0.03	c	1.0	0.94	1.02	9.01	0.85	0.88	0.9	2.61	12.0	6.0	26.96	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a1
7.53	1.9456080000000002	1.7740349999999998	0.733414	0.323368 : 0.323689 : 0.352943 : -0.008231 : -0.002847 : 0.004690	6.0	0.012603	ATRM	0.354247 : 322.8 : 76.6	0.330508 : 133.2 : 13.3	0.315245 : 223.7 : 2.2	This study	Critical F: 3.1059									hz07a1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07a2	Archeologic	Ceramic	6.87e-05	0.03	c	1.0	0.94	1.19	1.01	0.91	0.96	0.91	2.01	13.0	5.0	23.86	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a2
5.7	7.095825	10.673991000000001	0.446813	0.322640 : 0.329721 : 0.347639 : -0.004743 : -0.015744 : 0.001705	6.0	0.007037999999999999	ATRM	0.357229 : 102.4 : -58.7	0.324712 : 328.4 : -22.9	0.318059 : 49.4 : 20.1	This study	Critical F: 3.1059									hz07a2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a2
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a3
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07a4	Archeologic	Ceramic	6.99e-05	0.04	c	0.96	0.96	1.56	8.94	0.9	0.95	0.9	2.09	12.0	5.0	20.58	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a4
6.05	2.200198	2.0990889999999998	0.761763	0.344959 : 0.332798 : 0.322243 : -0.011489 : 0.006830 : 0.000813	6.0	0.010592	ATRM	0.352159 : 147.6 : 5.7	0.330457 : 53.4 : 36.0	0.317384 : 245.3 : 53.4	This study	Critical F: 3.1059									hz07a4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a4
	2.066152	0.989185	1.6192520000000001	0.354835 : 0.329839 : 0.315326 : -0.004069 : 0.010608 : 0.003282	9.0	0.01445	AARM	0.355551 : 352.0 : 2.5	0.335226 : 83.4 : 28.7	0.309223 : 257.4 : 61.1	This study	Critical F: 2.6848									hz07a4;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a4
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07a5	Archeologic	Ceramic	6.879999999999999e-05	0.04	c	0.98	0.96	0.52	8.0	0.74	0.77	0.88	2.01	10.0	4.0	16.55	5.9999999999999995e-05	Not Specified	Tel Hazor	773.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a5
7.23	6.554005	3.977466	4.2155309999999995	0.325662 : 0.332608 : 0.341730 : 0.014540 : -0.008564 : -0.004351	6.0	0.0067079999999999996	ATRM	0.352439 : 234.2 : 41.6	0.333519 : 45.5 : 48.1	0.314041 : 140.3 : 4.4	This study	Critical F: 3.1059									hz07a5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a5
	0.715279	0.401951	0.49372	0.333364 : 0.338678 : 0.327959 : 0.009964 : 0.002020 : -0.007667	9.0	0.014611	AARM	0.346907 : 228.8 : 10.6	0.333806 : 127.3 : 46.9	0.319287 : 328.2 : 41.2	This study	Critical F: 2.6848									hz07a5;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz07a	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07b1	Archeologic	Ceramic	8e-05	0.03	c	0.99	0.92	0.35	0.79	0.86	0.85	0.89	2.36	13.0	5.0	28.2	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b1
4.88	16.015048	13.12389	7.190027000000001	0.341572 : 0.327349 : 0.331080 : 0.018440 : -0.001474 : 0.022363	6.0	0.006693000000000001	ATRM	0.364652 : 25.1 : 30.3	0.330364 : 264.6 : 41.0	0.304984 : 318.5 : -34.2	This study	Critical F: 3.1059									hz07b1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07b2	Archeologic	Ceramic	8.63e-05	0.03	c	0.92	0.91	0.32	2.53	0.82	0.85	0.89	1.63	12.0	5.0	24.48	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b2
3.9	8.560661999999999	10.979502	1.2974450000000002	0.338921 : 0.343670 : 0.317409 : -0.026501 : 0.023193 : -0.007983	6.0	0.011839	ATRM	0.376674 : 308.9 : -21.3	0.321198 : 204.6 : -32.4	0.302128 : 246.2 : 49.7	This study	Critical F: 3.1059									hz07b2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07b3	Archeologic	Ceramic	7.58e-05	0.03	c	1.02	0.94	1.23	0.58	0.86	0.86	0.88	3.6	13.0	5.0	25.39	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b3
3.02	4.282292	4.030508	1.5220049999999998	0.329940 : 0.310474 : 0.359586 : -0.002643 : 0.015902 : -0.006582	6.0	0.013073	ATRM	0.365681 : 304.7 : -70.1	0.328564 : 181.6 : -11.2	0.305755 : 268.3 : 16.3	This study	Critical F: 3.1059									hz07b3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07b4	Archeologic	Ceramic	8.02e-05	0.02	c	0.94	0.94	0.79	5.56	0.86	0.87	0.86	2.29	11.0	6.0	33.1	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b4
3.6	1.8463889999999998	1.3614950000000001	0.958324	0.343642 : 0.329071 : 0.327287 : -0.007263 : 0.012966 : -0.007010	6.0	0.012323	ATRM	0.352577 : 327.2 : -27.1	0.332242 : 219.8 : -30.4	0.315181 : 270.6 : 47.1	This study	Critical F: 3.1059									hz07b4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07b5	Archeologic	Ceramic	7.4e-05	0.02	c	1.04	0.93	0.71	4.48	0.84	0.85	0.88	1.92	12.0	5.0	32.24	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b5
3.18	14.477188	14.445742999999998	4.572253	0.313285 : 0.335238 : 0.351477 : 0.001695 : 0.014321 : 0.013320	6.0	0.00645	ATRM	0.362946 : 241.8 : -58.8	0.328279 : 286.1 : 23.5	0.308776 : 187.3 : 19.4	This study	Critical F: 3.1059									hz07b5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07b	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07b5
7.38	38.331972	52.022037	4.518515	0.342409 : 0.317837 : 0.339754 : -0.046147 : 0.021382 : -0.044475	6.0	0.009953	ATRM	0.410990 : 145.6 : 34.4	0.309466 : 294.5 : 51.4	0.279545 : 44.7 : 15.4	This study	Critical F: 3.1059									hz07c1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c2	Archeologic	Ceramic	6.409999999999999e-05	0.05	c	0.96	0.98	0.28	1.13	0.67	0.78	0.86	2.47	10.0	5.0	11.49	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c2
2.81	6.194615	0.086414	10.573134	0.315717 : 0.349811 : 0.334472 : -0.007259 : -0.008082 : -0.027150	6.0	0.012169	ATRM	0.355359 : 233.3 : 47.4	0.350300 : 298.8 : -20.8	0.294342 : 13.3 : 35.2	This study	Critical F: 3.1059									hz07c2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c3	Archeologic	Ceramic	6.27e-05	0.05	c	0.94	0.98	1.16	1.18	0.65	0.71	0.86	4.62	10.0	5.0	10.34	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c3
1.35	2.7264369999999998	0.295594	3.762031	0.341843 : 0.336533 : 0.321624 : -0.001407 : -0.021662 : -0.001410	6.0	0.013080000000000001	ATRM	0.351998 : 272.3 : 35.4	0.341940 : 179.7 : 3.6	0.306062 : 264.6 : -54.4	This study	Critical F: 3.1059									hz07c3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c3
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c5	Archeologic	Ceramic	4.23e-05	0.03	c	1.25	0.98	0.95	5.53	0.74	0.72	0.85	4.02	10.0	6.0	21.7	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c5
2.18	54.417327	49.15804	20.855578	0.310359 : 0.291750 : 0.397891 : -0.035838 : 0.028427 : -0.021387	6.0	0.009204	ATRM	0.413988 : 134.4 : 65.5	0.322727 : 326.4 : 24.1	0.263285 : 54.4 : -4.5	This study	Critical F: 3.1059									hz07c5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c5
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c7	Archeologic	Ceramic	5.820000000000001e-05	0.02	c	1.04	0.95	0.68	2.86	0.68	0.78	0.88	2.29	10.0	6.0	27.65	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c7
2.09	6.15954	1.649011	6.600892999999999	0.330963 : 0.322195 : 0.346842 : 0.025793 : 0.001038 : -0.014787	6.0	0.011628	ATRM	0.361496 : 212.2 : 39.2	0.340378 : 56.9 : 48.1	0.298127 : 312.6 : 12.5	This study	Critical F: 3.1059									hz07c7;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c7
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07c8	Archeologic	Ceramic	6.330000000000001e-05	0.05	c	0.97	0.95	0.58	0.54	0.68	0.73	0.88	4.54	11.0	6.0	12.68	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c8
6.21	4.051996	2.1609220000000002	2.923111	0.330463 : 0.334247 : 0.335290 : 0.000832 : -0.006171 : 0.019847	6.0	0.009311	ATRM	0.353743 : 161.6 : -48.4	0.334385 : 252.8 : -1.1	0.311871 : 163.7 : 41.6	This study	Critical F: 3.1059									hz07c8;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c8
	0.46667	0.36664800000000003	0.222967	0.334165 : 0.336760 : 0.329074 : 0.005396 : 0.000094 : 0.004615	9.0	0.010611	AARM	0.341753 : 227.4 : -14.1	0.332667 : 306.6 : 36.7	0.325581 : 154.7 : 49.8	This study	Critical F: 2.6848									hz07c8;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz07c	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07c8
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d1	Archeologic	Ceramic	7.219999999999999e-05	0.02	c	0.97	0.94	1.08	3.22	0.78	0.78	0.88	1.79	10.0	5.0	30.18	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d1
2.29	8.981155000000001	10.415262	1.9349880000000002	0.322264 : 0.352623 : 0.325113 : 0.027548 : -0.001975 : -0.001608	6.0	0.009655	ATRM	0.369041 : 59.4 : -3.3	0.324976 : 78.7 : 86.5	0.305983 : 329.5 : 1.1	This study	Critical F: 3.1059									hz07d1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d2	Archeologic	Ceramic	6.69e-05	0.01	c	1.05	0.93	1.28	6.83	0.81	0.79	0.89	2.81	11.0	6.0	73.83	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d2
1.38	11.913960000000001	13.333542999999999	2.84565	0.315640 : 0.336054 : 0.348306 : 0.007176 : -0.014912 : -0.016174	6.0	0.007365000000000001	ATRM	0.364544 : 56.1 : -52.8	0.326513 : 99.7 : 28.8	0.308943 : 357.2 : 21.4	This study	Critical F: 3.1059									hz07d2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d3	Archeologic	Ceramic	7.329999999999999e-05	0.01	c	0.99	0.95	1.71	3.69	0.94	0.93	0.89	3.71	13.0	5.0	77.79	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d3
0.78	6.2907779999999995	5.672615	2.418757	0.330570 : 0.333545 : 0.335886 : 0.001563 : -0.019327 : 0.000050	6.0	0.00698	ATRM	0.354123 : 266.3 : 46.6	0.330614 : 1.5 : 4.8	0.315263 : 276.0 : -43.0	This study	Critical F: 3.1059									hz07d3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d4	Archeologic	Ceramic	6.670000000000001e-05	0.02	c	1.11	0.93	1.42	5.54	0.88	0.85	0.9	2.72	12.0	6.0	42.5	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d4
3.14	13.972315	22.060370000000002	0.5752189999999999	0.314512 : 0.323171 : 0.362316 : -0.004550 : 0.018083 : -0.000742	6.0	0.007556	ATRM	0.369492 : 96.7 : 68.3	0.319306 : 131.4 : -18.1	0.311202 : 217.6 : 11.5	This study	Critical F: 3.1059									hz07d4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d5	Archeologic	Ceramic	7.709999999999999e-05	0.01	c	0.98	0.94	0.43	5.22	0.8	0.82	0.87	1.05	10.0	6.0	55.4	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d5
3.9	10.312673	13.214579999999998	1.568553	0.346562 : 0.328248 : 0.325190 : 0.029269 : 0.006571 : 0.007614	6.0	0.009201	ATRM	0.370301 : 216.5 : -12.5	0.322998 : 204.0 : 77.2	0.306701 : 125.9 : -2.7	This study	Critical F: 3.1059									hz07d5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz07d6	Archeologic	Ceramic	7.74e-05	0.01	c	0.99	0.94	0.19	7.0	0.81	0.82	0.87	0.56	10.0	6.0	67.03	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d6
1.76	14.592951000000001	17.498486	2.828307	0.316800 : 0.350109 : 0.333091 : -0.010366 : 0.015272 : 0.000094	6.0	0.005821	ATRM	0.360906 : 103.2 : 28.1	0.326469 : 317.6 : 57.1	0.312625 : 21.8 : -15.7	This study	Critical F: 3.1059									hz07d6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz07d	hz07	pmagpy-3.4.1: thellier_gui.v.3.0	hz07d6
